"id","datetime","name","coordinate","linkStreetIds","linkPlaceIds","linkPersonIds","url"
"1","1954/3/13,1954/5/7","ディエンビエンフーの戦い","21.383333,103.016667","","","","http://hanoirekishi.web.fc2.com/dienbienphunotatakai.html"
"2","938","白藤江の戦い","","","","","https://ja.wikipedia.org/wiki/%E7%99%BD%E8%97%A4%E6%B1%9F%E3%81%AE%E6%88%A6%E3%81%84_(938%E5%B9%B4)"
"3","981","白藤江の戦い","","","","","https://ja.wikipedia.org/wiki/%E7%99%BD%E8%97%A4%E6%B1%9F%E3%81%AE%E6%88%A6%E3%81%84_(981%E5%B9%B4)"
"4","1288/4/9","白藤江の戦い","","","","","https://ja.wikipedia.org/wiki/%E7%99%BD%E8%97%A4%E6%B1%9F%E3%81%AE%E6%88%A6%E3%81%84_(1288%E5%B9%B4)"
"5","1988/3/14","スプラトリー諸島海戦（南沙諸島海戦）","9.713889,114.286111","","","","https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%97%E3%83%A9%E3%83%88%E3%83%AA%E3%83%BC%E8%AB%B8%E5%B3%B6%E6%B5%B7%E6%88%A6"
"6","1974/1","西沙諸島の戦い","16.5,112","","","","https://ja.wikipedia.org/wiki/%E8%A5%BF%E6%B2%99%E8%AB%B8%E5%B3%B6%E3%81%AE%E6%88%A6%E3%81%84"
"7","1788,1789","ドンダーの戦い（安南之役）","21.011981,105.824451","","","","https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%B3%E3%83%80%E3%83%BC%E3%81%AE%E6%88%A6%E3%81%84"
"8","1785/1/18,1785/1/19","ラックガム＝ソアイムットの戦い","10.35,106.35","","","","https://ja.wikipedia.org/wiki/%E3%83%A9%E3%83%83%E3%82%AF%E3%82%AC%E3%83%A0%EF%BC%9D%E3%82%BD%E3%82%A2%E3%82%A4%E3%83%A0%E3%83%83%E3%83%88%E3%81%AE%E6%88%A6%E3%81%84"
"9","1963/1/2","アプバクの戦い","10.438333,106.195278","","","","https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%97%E3%83%90%E3%82%AF%E3%81%AE%E6%88%A6%E3%81%84"
"10","1972/4/13,1972/6/9","アンロクの戦い","11.652778,106.609444","","","","https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%B3%E3%83%AD%E3%82%AF%E3%81%AE%E6%88%A6%E3%81%84"
"11","1965/11/14, 1965/11/18","イア・ドラン渓谷の戦い","13.583333,107.716667","","","","https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%A2%E3%83%BB%E3%83%89%E3%83%A9%E3%83%B3%E6%B8%93%E8%B0%B7%E3%81%AE%E6%88%A6%E3%81%84"
"12","1968/1/21,1968/4/8","ケサンの戦い","16.627211,106.737333","","","","https://ja.wikipedia.org/wiki/%E3%82%B1%E3%82%B5%E3%83%B3%E3%81%AE%E6%88%A6%E3%81%84"
"13","1975/4/9,1975/4/21","スアンロクの戦い","10.932222,107.234167","","","","https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%A2%E3%83%B3%E3%83%AD%E3%82%AF%E3%81%AE%E6%88%A6%E3%81%84"
"14","1964/8/2,1965/8/4","トンキン湾事件","19.75,107.75","","","","https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%B3%E3%82%AD%E3%83%B3%E6%B9%BE%E4%BA%8B%E4%BB%B6"
"15","1964/7/6","ナム・ドンの戦い","16.1175,107.678","","","","https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%A0%E3%83%BB%E3%83%89%E3%83%B3%E3%81%AE%E6%88%A6%E3%81%84"
"16","42","ハイ バー・チュンの乱の終結","21.126389,105.615833","","","","http://hanoirekishi.web.fc2.com/haibatrung.html"
"17","1968/3/16","ソンミ村虐殺事件","15.178333,108.869444","","","","https://ja.wikipedia.org/wiki/%E3%82%BD%E3%83%B3%E3%83%9F%E6%9D%91%E8%99%90%E6%AE%BA%E4%BA%8B%E4%BB%B6"
"18","1978/4/18,1978/4/30","バチュク村の虐殺","10.5,104.9","","","","https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%81%E3%83%A5%E3%82%AF%E6%9D%91%E3%81%AE%E8%99%90%E6%AE%BA"
"19","898","ゴー・クエン生誕","21.1543953,105.4537723","","","","http://hanoirekishi.web.fc2.com/ngoquyen.html"
"20","1300/8/20","チャン・フン・ダオ死去","21.1510298,106.327503","","","","https://vi.wikipedia.org/wiki/%C4%90%E1%BB%81n_Ki%E1%BA%BFp_B%E1%BA%A1c"
"21","1028","リー・タイトー死去","21.107222,105.960278","","","","https://en.wikipedia.org/wiki/L%C3%BD_B%C3%A1t_%C4%90%E1%BA%BF_Shrine"
"22","1788/12/26","クアンチュンが清との決戦を前に檄を飛ばす","20.2448065,105.9405024","","","","http://hanoirekishi.web.fc2.com/quangtrung.html"
